sample,mutation,total_reads,alt_reads,tumor_integer_copy_number,purity,multiplicity
S1,mut1,20,28,2,0.65,1
S1,mut2,102,65,2,0.65,2
S1,mut3,93,33,2,0.65,1
S1,mut4,94,26,2,0.65,1
S1,mut5,105,32,2,0.65,1
S1,mut6,96,60,2,0.65,2
S1,mut7,93,58,2,0.65,2
S1,mut8,81,52,2,0.65,2
S1,mut9,104,0,2,0.65,1
S1,mut10,106,0,2,0.65,2
S1,mut11,84,0,2,0.65,2
S1,mut12,100,0,2,0.65,2
S1,mut13,112,0,2,0.65,2
S1,mut14,108,0,2,0.65,2
S1,mut15,113,0,2,0.65,2
S1,mut16,106,0,2,0.65,2
S1,mut17,109,0,2,0.65,1
