sample,mutation,total_reads,alt_reads,tumor_integer_copy_number,purity,multiplicity
S1,mut1,787,20,2,1,1
S1,mut2,153,1,2,1,1
S1,mut3,145,0,2,1,1
S1,mut4,622,0,2,1,1
S1,mut5,117,0,2,1,1
S1,mut6,530,8,2,1,1
S1,mut7,916,12,2,1,1
S1,mut8,550,3,2,1,1
S1,mut9,346,2,2,1,1
S1,mut10,539,2,2,1,1
S1,mut11,403,4,2,1,1
S1,mut12,385,0,2,1,1
S1,mut13,149,1,2,1,1
S1,mut14,223,0,2,1,1
S1,mut15,210,1,2,1,1
S1,mut16,317,0,2,1,1
S1,mut17,493,1,2,1,1
S1,mut18,302,1,2,1,1
S1,mut19,130,0,2,1,1
S1,mut20,212,0,2,1,1
S2,mut1,435,105,2,1,1
S2,mut2,132,31,2,1,1
S2,mut3,494,117,2,1,1
S2,mut4,158,34,2,1,1
S2,mut5,649,149,2,1,1
S2,mut6,145,32,2,1,1
S2,mut7,112,25,2,1,1
S2,mut8,76,12,2,1,1
S2,mut9,598,90,2,1,1
S2,mut10,208,30,2,1,1
S2,mut11,217,33,2,1,1
S2,mut12,467,73,2,1,1
S2,mut13,239,28,2,1,1
S2,mut14,181,24,2,1,1
S2,mut15,320,39,2,1,1
S2,mut16,893,125,2,1,1
S2,mut17,204,25,2,1,1
S2,mut18,326,16,2,1,1
S2,mut19,154,11,2,1,1
S2,mut20,986,58,2,1,1
S3,mut1,198,71,2,1,1
S3,mut2,547,0,2,1,1
S3,mut3,192,0,2,1,1
S3,mut4,582,0,2,1,1
S3,mut5,110,0,2,1,1
S3,mut6,279,0,2,1,1
S3,mut7,232,3,2,1,1
S3,mut8,180,1,2,1,1
S3,mut9,167,0,2,1,1
S3,mut10,257,0,2,1,1
S3,mut11,882,3,2,1,1
S3,mut12,155,0,2,1,1
S3,mut13,409,0,2,1,1
S3,mut14,263,2,2,1,1
S3,mut15,186,0,2,1,1
S3,mut16,344,0,2,1,1
S3,mut17,244,0,2,1,1
S3,mut18,395,0,2,1,1
S3,mut19,166,0,2,1,1
S3,mut20,107,0,2,1,1
S4,mut1,428,133,2,1,1
S4,mut2,219,0,2,1,1
S4,mut3,275,0,2,1,1
S4,mut4,218,1,2,1,1
S4,mut5,321,0,2,1,1
S4,mut6,345,3,2,1,1
S4,mut7,465,4,2,1,1
S4,mut8,403,5,2,1,1
S4,mut9,294,0,2,1,1
S4,mut10,328,1,2,1,1
S4,mut11,320,0,2,1,1
S4,mut12,454,4,2,1,1
S4,mut13,143,1,2,1,1
S4,mut14,262,0,2,1,1
S4,mut15,243,0,2,1,1
S4,mut16,99,0,2,1,1
S4,mut17,388,2,2,1,1
S4,mut18,152,0,2,1,1
S4,mut19,774,0,2,1,1
S4,mut20,579,0,2,1,1
S5,mut1,288,88,2,1,1
S5,mut2,350,0,2,1,1
S5,mut3,100,0,2,1,1
S5,mut4,645,0,2,1,1
S5,mut5,363,0,2,1,1
S5,mut6,802,4,2,1,1
S5,mut7,162,0,2,1,1
S5,mut8,490,0,2,1,1
S5,mut9,263,7,2,1,1
S5,mut10,486,3,2,1,1
S5,mut11,332,2,2,1,1
S5,mut12,295,5,2,1,1
S5,mut13,427,2,2,1,1
S5,mut14,155,0,2,1,1
S5,mut15,447,0,2,1,1
S5,mut16,535,2,2,1,1
S5,mut17,675,4,2,1,1
S5,mut18,283,0,2,1,1
S5,mut19,185,0,2,1,1
S5,mut20,622,1,2,1,1
