cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10
root	0.69	0.31	0.03	0.1	0.1	0.02	0.02	0.12	0.14	0.18
cluster1	0	0.69	0.31	0.11	0.13	0.32	0.05	0.1	0.18	0.19
cluster2	0.31	0	0.66	0.07	0.09	0.66	0.06	0.14	0.14	0.21
cluster3	0	0	0	0.55	0.49	0	0	0.14	0.17	0
cluster4	0	0	0	0	0.18	0	0	0.13	0.2	0
cluster5	0	0	0	0.17	0	0	0	0.13	0.17	0
cluster6	0	0	0	0	0	0	0.87	0.12	0	0.24
cluster7	0	0	0	0	0	0	0	0.12	0	0.18
cluster8	0	0	0	0	0	0	0	0	0	0
cluster9	0	0	0	0	0	0	0	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0
