Mut_ID,Multiplicity
chr1-57-clone1,3
chr1-110-clone1,3
chr1-167-clone1,3
chr1-386-clone1,1
chr1-441-clone1,1
chr1-1276-clone1,1
chr1-1496-clone1,1
chr1-1631-clone1,1
chr1-1735-clone1,1
chr1-2036-clone1,1
chr1-2428-clone1,1
chr1-2650-clone1,1
chr1-2684-clone1,1
chr1-2730-clone1,1
chr1-2857-clone1,1
chr1-2931-clone1,1
chr1-2977-clone1,1
chr1-3061-clone1,1
chr1-3113-clone1,1
chr1-3173-clone1,1
chr1-3371-clone1,1
chr1-3812-clone1,1
chr1-4278-clone1,1
chr1-4428-clone1,1
chr1-4696-clone1,1
chr1-4893-clone1,1
chr1-5277-clone1,1
chr1-5563-clone1,1
chr1-5597-clone1,1
chr1-5815-clone1,1
chr1-6037-clone1,1
chr1-6113-clone1,1
chr1-6145-clone1,1
chr1-6753-clone1,1
chr1-6792-clone1,1
chr1-6808-clone1,1
chr1-6826-clone1,1
chr1-7094-clone1,1
chr1-7148-clone1,1
chr1-7518-clone1,1
chr1-8257-clone1,1
chr1-8368-clone1,1
chr1-8579-clone1,1
chr1-8701-clone1,1
chr1-9064-clone1,1
chr1-9210-clone1,1
chr1-9274-clone1,1
chr1-9472-clone1,1
chr1-9505-clone1,1
chr1-9586-clone1,1
chr1-154-clone2,1
chr1-660-clone2,1
chr1-681-clone2,1
chr1-1963-clone2,1
chr1-2128-clone2,1
chr1-2463-clone2,1
chr1-2690-clone2,1
chr1-3045-clone2,1
chr1-3546-clone2,1
chr1-3754-clone2,1
chr1-3807-clone2,1
chr1-4223-clone2,1
chr1-4937-clone2,1
chr1-5405-clone2,1
chr1-7106-clone2,1
chr1-8180-clone2,1
chr1-8491-clone2,1
chr1-9095-clone2,1
chr1-9644-clone2,1
chr1-9765-clone2,1
chr1-8716-clone3,1
chr1-9104-clone3,1
chr1-8700-clone3,1
chr1-8321-clone3,1
chr1-8790-clone3,1
chr1-8663-clone3,1
chr1-8026-clone3,1
chr1-8101-clone3,1
chr1-8124-clone3,1
chr1-9457-clone3,1
chr1-8911-clone3,1
chr1-8160-clone3,1
chr1-8794-clone3,1
chr1-9636-clone3,1
chr1-9885-clone3,1
chr1-8367-clone3,1
chr1-9615-clone3,1
chr1-8023-clone3,1
chr1-9581-clone3,1
chr1-9458-clone3,1
